"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11099","User logout test @master @regression","chromium","Mon Jun 16 13:50:54 EDT 2025","passed","Mon Jun 16 13:51:06 EDT 2025","","Logout.spec.ts","",""
"","5108","Login Test with CSV Data: Valid login @datadriven","chromium","Fri Jun 13 21:07:20 EDT 2025","passed","Fri Jun 13 21:07:26 EDT 2025","","LoginDataDriven.spec.ts","",""
"","4614","Login Test with CSV Data: Invalid login @datadriven","chromium","Fri Jun 13 21:07:21 EDT 2025","passed","Fri Jun 13 21:07:25 EDT 2025","","LoginDataDriven.spec.ts","",""
"","6157","Add product to cart test @master @regression","chromium","Mon Jun 16 13:50:42 EDT 2025","passed","Mon Jun 16 13:50:49 EDT 2025","","AddToCart.spec.ts","",""
"","5951","Login Test with JSON Data: Invalid login @datadriven","chromium","Fri Jun 13 21:07:14 EDT 2025","passed","Fri Jun 13 21:07:20 EDT 2025","","LoginDataDriven.spec.ts","",""
"","4050","Product search test @master @regression","chromium","Mon Jun 16 13:50:57 EDT 2025","passed","Mon Jun 16 13:51:01 EDT 2025","","SearchProduct.spec.ts","",""
"","6267","Login Test with JSON Data: Valid login @datadriven","chromium","Fri Jun 13 21:07:14 EDT 2025","passed","Fri Jun 13 21:07:20 EDT 2025","","LoginDataDriven.spec.ts","",""
"","10518","User login test @master @sanity @regression","chromium","Tue Jun 17 11:21:13 EDT 2025","passed","Tue Jun 17 11:21:23 EDT 2025","","Login.spec.ts","",""
"","12460","User registration test","chromium","Fri Jun 13 12:52:08 EDT 2025","passed","Fri Jun 13 12:52:21 EDT 2025","","AccountRegistration.spec.ts","",""
"","18306","execute end-to-end test flow @end-to-end","chromium","Mon Jun 16 13:45:47 EDT 2025","passed","Mon Jun 16 13:46:05 EDT 2025","","EndToEndTest.spec.ts","",""
"","16825","User registration test @master @sanity @regression","chromium","Tue Jun 17 11:21:13 EDT 2025","passed","Tue Jun 17 11:21:30 EDT 2025","","AccountRegistration.spec.ts","",""
